date	bytes	seconds	tracks	filename	caption
2020-10-02T08:26:31	17467615	1473.022	soun+vide	10000000_812247822877294_8792969937664755096_n_10157749558545493.mp4	I had wanted to do something image-wise for Domestic Abuse Awareness Month. I mean, no doubt, I think we're all . . . aware. I've been fiddling with the phrase domestic abuse, and I must say, COVID-45 has totally stretched, filled, apotheosed, epitomized, gold-boilerplated the true spirit of the phrase. Domestic as in the household, but also in the borders of the nation. Ass Above, So Below Me. And read aloud to yourself the White House statement for Domestic Abuse Awareness Month and file it under Stole Wallet, Coordinated the Search. For the past couple weeks I was flippantly engaging with an AI to do a cheeky love story about 45 that was inspired by astrological app on my phone. After a couple dozen iterations, it was not wanting to go that way. So early yesterday, I fed a scenario within AI Dungeon which employs the GPT-3 Natural Language Processing Thingamajig, I added to its world info the idea of a perpetrated-perpetrator dichotomy, and as many tactics of deflection, manipulation, and other behaviors employed by 45 and the folks who have been empowered by him the past four years. It's an attempt at a working within dynamic fictional realms to improve our chances of a smooth divorce as a nation. For most of it, i've been using the dictation function which I never use, so you'll know who wrote what by the lack of commas. I got a bunch of scenes that seem to have curious overlapping themes, i'll try to do one a day so there may be thirty-one chapters. And I'm using Microsoft's Immersive Reader which has impressive reading voices so that the text can be put in the background as folk go about preparing for whatever's coming. When I cope, I cope big. This is a long fucker at 24 min, hoping to make things briefer but I wanted to show the process of the AI seeming to acclimate to conditions, this is what I've been waiting for my whole life, since talking to Eliza who in the AppleIIE was a program called Freud with big bushy eyebrows, who I hope in digital ghost form might want to apologize to the meatspace for denying women's reality and instead suggesting maybe they just weren't having enough sex in their lives. 'Tis the season for thinking of the wars waged at home, and how they've spilt on the streets.
2020-10-03T12:34:22	8543635	207.084	soun+vide	464487174_1688223631721660_2076720282645571834_n_10157752378825493.mp4	episode 3: camp was ex gay but we never got around to it. 4 min minisode!
2020-10-05T13:47:10	12099790	618.899	soun+vide	10000000_5125785500781038_7046871492131993202_n_10157758153065493.mp4	episode 4 - i pitch a film project to gpt-1 after being briefly possessed by a lebsbia n doctor in early 1900s n california, it goes well
2020-10-05T14:08:57	5302495	261.203	soun+vide	120891731_953571308488948_7602319118981117667_n_10157758194090493.mp4	episode 5 - gonna change it up and alternate between serial narrative and interstitials where in we talk to another user creation the textplainer. thanks to Aemon for this thing. and to nine inch nails for making this album creative commons provided i dont profit from it. and immersive reader and ai dungeon and open ai and microsoft and the church of ioannes which might go into later
2020-10-07T09:56:05	11594845	592.403	soun+vide	10000000_260220161978912_2352807364278014973_n_10157762714905493.mp4	i know im not actually feeding the language into its corpus, but im also assuming some future iteration in which all user generated content get eventually absorbed, after some sifting for quality purposes like they did for the common crawl content. been leaning on the PSA aspects of this. once again nin via creative commons. no profits here! just self directed therapy for the part of me that lives in data and feels more a citizen here than in paperwork nations, but thats my quaint 90s transhuman optimism.
2020-10-10T11:59:38	6089901	373.203	soun+vide	121261648_355354459004070_6547700687152061437_n_10157770511055493.mp4	episode 6 - pitch meetjng with ernest, which goes well, but make major changes before actually putting typewriter to paper. a need for funders. who wants a 5000 hour horror film?
2020-10-15T13:23:10	5654585	358.569	soun+vide	121625478_360031211910299_452672407752424584_n_10157781915420493.mp4	when sc nominee got announced as candidate and superspread happened, a pastor i used to listen to received the covid of the spirit cuz he was in attendance. he had a sermon about his time with covid which was also similar in duration to covid-45. he spoke about where covid plays a part in the end times. special broadcast all weekend. i thought oh shit, folks are feeling its the actual culmination of prophecy, damn it! when i was a kid equating the flames to nuckear fire was like whoa. but now fires and poisoned water, and more than a third of shit is fucked, and even the murder hornets are the creaturea that sting people for about a year, and we are reverse engineering plants and making altermative materials for dna outside of actg and google translate goes babe who she? thankfully the pastors main idea was that the next thing to wait for is the rapture, oh tha k god! cuz we have been waiting for that for decades and hundredd of years. no theif in this night yet. but i made this scenario with ai dungeon. Left Behind: After Hours cuz comic relief has to come from somewhere-and it can now be delegated to an AI . . . what a time to be eternally dying!
2020-10-15T17:05:08	6408070	354.451	soun+vide	121608184_1494667000743730_6608398909590009432_n_10157782510645493.mp4	ai dungeon and i on the saaaaaaame paaage.
2020-10-18T23:31:36	13724386	725.609	soun+vide	10000000_665484611073099_9199568413379638682_n_10157790091930493.mp4	so we dont get to see the great tribulation from the eyes of Abaddon, who heads up the Murder Locust department, well we get to in what seems a cronenberg\apatow joint with a curious cameo of ali g sentiments.
2020-10-19T14:09:45	5593349	332.563	soun+vide	122173448_1251383868573698_2277984333820595433_n_10157791266435493.mp4	whenever absolute language is invoked, i can 't help but pick at it until an exception is found. i asked AID about domestic abuse and humor. is it ever funny? can domestic abuse ever be in the vicinity of humor? is there any lived experience they can share? this is part one of a larger shaggy answer.
